City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Bakı,Ford,Transit,2021,Furqon,Ağ,2.2 L,99 a.g.,Dizel,0 km,Mexaniki,Ön,Bəli,47 500
Qəbələ,LADA (VAZ),2106,2002,Sedan,Göy,1.6 L,75 a.g.,Benzin,250 000 km,Mexaniki,Arxa,Xeyr,4 500
Bakı,Chevrolet,Malibu,2019,Sedan,Qara,1.5 L,163 a.g.,Benzin,83 560 km,Avtomat,Ön,Xeyr,25 000
Gəncə,LADA (VAZ),2107,2002,Sedan,Ağ,1.5 L,65 a.g.,Benzin,155 522 km,Mexaniki,Arxa,Xeyr,4 000
Bakı,Mercedes,E 240,1999,Sedan,Ağ,2.4 L,170 a.g.,Benzin,245 000 km,Avtomat,Arxa,Xeyr,13 300
Bakı,Opel,Vectra,2000,Sedan,Göy,2.2 L,147 a.g.,Benzin,390 000 km,Avtomat,Ön,Xeyr,7 800
Bakı,Hyundai,Sonata,2011,Sedan,Ağ,2.0 L,166 a.g.,Hibrid,73 000 km,Avtomat,Ön,Xeyr,24 800
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Boz,1.5 L,76 a.g.,Hibrid,178 000 km,Avtomat,Ön,Xeyr,14 400
Bakı,Chevrolet,Cruze,2012,Sedan,Tünd qırmızı,1.4 L,141 a.g.,Benzin,297 229 km,Avtomat,Ön,Xeyr,13 500
Bakı,Renault,Kangoo,2012,Furqon,Ağ,1.5 L,86 a.g.,Dizel,316 640 km,Mexaniki,Ön,Xeyr,12 000
Bakı,LADA (VAZ),2106,1991,Sedan,Ağ,1.3 L,65 a.g.,Benzin,285 800 km,Mexaniki,Arxa,Xeyr,3 300
Sumqayıt,Hyundai,i30,2009,Universal,Ağ,1.4 L,109 a.g.,Benzin,167 000 km,Mexaniki,Ön,Xeyr,12 900
Qazax,LADA (VAZ),2107,2007,Sedan,Ağ,1.6 L,75 a.g.,Benzin,97 174 km,Mexaniki,Arxa,Xeyr,7 200
Bakı,Volkswagen,Passat,2002,Sedan,Boz,4.0 L,275 a.g.,Benzin,290 680 km,Avtomat,Ön,Xeyr,5 800
Bakı,BMW,325,2007,Sedan,Ağ,2.5 L,218 a.g.,Benzin,160 000 km,Avtomat,Arxa,Xeyr,10 500
Bakı,Mitsubishi,Pajero,2011,Offroader / SUV,Qara,3.5 L,202 a.g.,Benzin,136 000 km,Avtomat,Tam,Xeyr,30 900
Bakı,Ford,Transit,2009,Furqon,Ağ,2.2 L,125 a.g.,Dizel,172 500 km,Mexaniki,Ön,Xeyr,16 800
Bakı,LADA (VAZ),Niva,2020,Offroader / SUV,Qara,1.7 L,80 a.g.,Benzin,20 400 km,Mexaniki,Tam,Xeyr,19 700
Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Yaş Asfalt,2.0 L,184 a.g.,Dizel,66 750 km,Avtomat,Ön,Xeyr,23 500
Bakı,Lexus,LX 570,2008,Offroader / SUV,Yaş Asfalt,5.7 L,383 a.g.,Benzin,165 000 km,Avtomat,Tam,Xeyr,35 500
